cgpa,attendance,backlogs,skill_count,avg_skill_level,project_count,internship_count,certification_count,hackathon_count,placed
4.61,82.9,0,5,3.55,0,0,3,4,0
7.69,100.0,1,3,2.73,6,0,5,4,1
6.05,83.6,1,5,3.04,4,0,1,3,1
8.41,85.9,3,3,3.99,3,0,1,1,0
4.0,100.0,0,8,3.76,5,1,5,2,1
5.7,75.4,4,9,2.74,4,2,1,4,1
4.44,68.4,3,11,2.23,1,3,3,4,1
5.64,83.1,4,13,4.04,3,1,1,2,1
7.15,83.3,3,1,3.67,4,1,1,4,1
6.55,71.7,0,4,1.29,0,0,2,1,0
6.45,65.6,1,4,2.59,4,2,2,2,1
6.58,100.0,0,4,3.07,3,0,5,4,1
7.08,81.9,3,11,3.68,0,0,5,1,1
5.39,69.2,1,2,3.81,1,3,3,3,0
7.79,89.0,0,1,3.18,3,2,3,2,1
7.73,76.7,4,12,3.49,2,0,0,1,0
7.34,75.0,0,13,2.96,2,1,1,1,1
7.58,84.7,1,3,2.23,4,1,0,3,1
7.21,62.5,2,5,2.64,2,0,5,2,1
9.65,82.2,0,7,2.92,3,0,1,1,1
6.68,100.0,1,7,2.87,5,0,2,3,1
6.37,83.6,3,13,1.01,0,1,5,0,0
5.75,73.5,0,6,2.5,2,0,4,0,1
5.35,71.9,1,1,2.96,0,1,3,4,1
5.06,73.1,0,6,2.62,6,0,0,3,1
5.56,75.0,2,8,2.65,1,2,3,2,1
6.7,73.5,0,7,3.39,5,1,3,0,1
7.27,89.0,4,7,1.82,1,2,1,2,1
6.87,57.2,3,12,1.27,2,0,4,2,1
5.73,88.3,0,11,2.55,4,1,5,2,1
8.06,73.4,0,4,3.66,5,2,1,0,1
7.84,82.5,1,5,4.59,1,0,1,2,1
6.58,64.5,2,9,3.68,1,0,1,2,1
5.89,93.9,1,6,1.43,6,0,5,1,1
7.57,92.9,0,6,2.67,2,0,0,0,0
7.06,89.5,0,3,3.16,1,0,5,4,1
4.77,59.8,5,4,3.08,5,0,4,3,0
6.7,87.9,1,10,3.44,0,0,2,3,1
7.17,82.9,3,11,1.98,6,1,3,3,1
5.54,58.7,1,11,2.96,6,0,5,3,1
7.07,77.7,4,5,3.32,5,0,4,0,1
4.76,82.4,0,2,3.73,2,1,1,2,1
8.67,84.7,0,3,2.09,0,0,0,4,0
8.55,80.1,4,6,2.55,2,0,3,1,1
6.45,81.5,4,7,1.0,2,0,0,4,0
7.31,95.7,0,12,2.28,6,0,0,0,1
4.0,92.7,0,12,2.38,4,1,5,1,1
5.18,43.6,1,1,1.88,6,0,2,1,0
6.39,74.2,1,10,3.07,5,0,3,3,1
5.3,76.0,0,4,2.84,5,3,1,0,1
7.8,57.0,3,3,1.0,0,2,0,1,0
9.6,79.1,0,8,3.12,0,0,0,3,0
5.15,93.0,2,1,1.97,0,0,2,1,0
5.63,65.0,0,5,3.39,4,1,0,4,1
7.13,82.0,0,8,1.62,1,2,2,4,1
9.06,67.0,2,4,2.93,6,2,1,1,1
5.09,69.9,0,8,2.62,0,0,3,2,1
7.15,95.7,2,6,3.2,6,0,3,1,1
9.35,71.5,0,11,3.02,4,0,1,1,0
4.49,83.5,4,3,2.64,0,2,2,3,0
5.01,55.5,2,1,1.36,0,2,0,1,0
6.21,100.0,3,7,1.42,2,0,1,0,1
6.07,85.2,0,4,2.32,2,1,5,1,1
7.94,75.8,0,10,2.89,2,0,5,4,1
7.14,84.9,0,2,2.29,3,1,2,1,0
4.32,61.1,1,8,3.53,0,2,5,1,1
7.52,92.2,0,13,2.62,0,1,3,3,1
5.99,74.1,0,2,1.93,4,0,0,0,0
8.58,75.6,0,4,2.62,6,1,5,1,1
5.92,72.1,0,11,3.13,1,0,2,0,0
5.91,71.0,0,7,3.22,6,2,3,4,1
7.56,86.3,0,3,4.78,2,0,3,4,1
7.87,81.1,0,3,2.23,2,2,1,3,1
7.43,85.8,2,10,2.83,0,0,4,1,1
4.44,77.9,0,12,3.33,2,0,3,3,1
7.55,84.2,0,5,2.88,3,0,2,3,1
5.35,73.0,1,7,2.4,4,0,1,4,1
7.13,100.0,2,11,1.35,1,0,4,0,1
4.81,59.2,0,3,2.39,1,1,1,3,1
7.42,93.1,1,3,1.83,3,0,0,0,0
5.67,94.4,4,11,1.17,0,0,5,2,1
5.0,67.8,1,3,2.1,1,0,1,4,0
7.8,100.0,4,11,1.85,4,0,3,0,1
7.14,89.9,3,7,3.48,6,2,4,0,1
5.94,89.7,0,13,3.5,4,2,5,4,1
8.83,78.3,1,1,2.0,1,0,3,0,1
6.18,75.4,2,13,2.64,6,1,4,3,1
6.84,75.5,5,3,1.04,3,1,5,2,1
7.18,82.7,1,1,2.41,5,3,5,1,1
5.93,94.8,0,10,3.3,1,0,0,4,1
7.46,80.2,1,7,3.72,4,0,4,4,1
6.05,67.1,0,11,2.19,0,1,1,1,0
6.22,87.9,2,2,3.95,4,2,5,0,1
8.71,89.1,1,2,1.38,1,1,0,0,0
5.34,85.9,2,8,1.65,6,1,1,0,1
4.0,86.9,3,12,3.61,0,0,1,4,0
9.06,74.7,2,6,4.57,4,1,3,2,1
10.0,66.9,1,11,3.39,0,2,0,3,0
6.23,67.6,2,12,2.86,4,0,0,1,1
4.09,58.4,3,12,1.0,3,1,3,4,0
6.37,80.8,3,7,1.0,6,0,5,3,0
6.4,77.0,0,10,3.03,4,1,3,3,1
6.53,72.7,1,7,2.54,2,1,2,2,1
5.24,42.5,0,9,1.79,0,1,3,3,0
7.61,63.0,3,8,2.97,4,3,3,2,1
7.53,91.5,2,7,3.02,3,0,2,1,1
4.71,70.0,1,6,3.84,0,0,3,2,1
7.78,82.3,0,9,3.04,4,0,0,1,1
9.67,61.3,0,10,4.13,1,0,1,4,1
7.04,95.3,2,12,2.91,1,0,4,3,1
6.33,76.3,0,8,2.78,0,0,2,3,0
6.6,81.5,0,2,3.96,2,0,0,3,0
7.66,100.0,3,8,1.92,1,0,0,2,1
4.38,96.2,2,5,5.0,0,0,5,4,0
7.03,74.3,0,1,3.28,3,1,1,1,1
6.25,70.9,0,1,3.28,1,0,0,2,0
9.39,74.1,5,8,3.43,0,1,4,0,0
6.56,84.1,2,13,4.78,3,2,3,1,1
9.14,76.7,1,7,3.69,0,1,2,2,1
5.25,73.3,0,6,1.29,6,0,5,2,1
7.62,95.6,0,2,4.3,3,0,1,4,1
7.25,76.6,0,9,2.56,6,1,3,3,1
5.58,100.0,2,1,3.01,6,1,4,2,1
7.05,79.1,0,11,1.62,6,0,3,2,1
8.5,99.4,0,11,3.43,3,0,1,3,1
6.35,82.3,2,13,2.25,2,1,4,3,1
4.43,89.6,4,4,3.0,5,0,4,1,0
6.78,69.3,2,3,2.62,0,1,0,2,1
5.54,67.8,1,4,4.83,5,0,0,2,1
6.32,83.5,1,11,4.88,2,0,4,0,1
6.69,89.9,1,3,2.95,0,2,0,4,0
4.41,78.5,0,12,2.96,1,0,5,2,1
4.54,62.6,1,3,2.53,1,1,0,1,1
7.47,61.7,1,1,4.01,0,0,5,3,1
6.07,60.9,1,3,2.57,4,0,4,3,1
4.0,56.8,3,10,2.48,0,2,2,4,0
7.9,79.3,5,8,3.88,5,0,1,0,1
7.18,91.5,0,5,2.36,3,0,2,2,1
5.8,77.8,0,9,2.86,5,2,4,0,1
4.96,50.9,0,9,1.32,2,1,4,2,1
7.97,75.7,0,8,3.6,0,1,1,2,1
7.29,76.0,0,7,4.84,1,0,3,2,1
10.0,100.0,0,2,3.62,4,0,5,4,1
7.39,60.5,2,4,4.36,5,1,1,2,1
7.34,73.3,1,7,2.05,1,0,4,2,0
6.57,98.5,4,2,3.14,2,0,1,0,0
7.94,83.4,0,7,1.96,6,1,5,1,1
7.68,84.8,0,2,2.67,5,0,1,4,1
8.55,79.4,1,11,3.67,2,0,1,2,1
6.07,82.0,0,2,3.0,1,0,2,4,0
6.19,87.3,0,2,1.49,2,0,2,2,0
6.13,68.3,5,9,1.58,3,1,1,2,0
7.91,88.5,0,3,1.52,3,2,3,2,1
8.9,61.5,0,5,3.39,1,0,0,2,0
6.16,81.9,1,5,4.96,0,0,5,0,0
6.21,80.1,1,3,4.26,3,1,0,0,0
7.24,70.6,1,10,1.0,5,0,2,2,1
6.46,77.7,0,9,4.32,1,1,5,2,1
8.13,70.5,3,4,3.84,2,2,0,2,1
4.0,65.1,0,9,1.35,1,1,0,2,1
5.64,73.8,1,10,2.6,1,0,4,1,1
5.7,64.8,2,8,4.0,4,3,0,3,0
4.0,81.9,3,8,3.45,2,0,5,3,1
5.45,64.2,0,13,1.59,1,2,2,0,1
5.52,86.5,1,6,3.51,6,1,5,2,1
6.52,63.8,0,6,1.0,1,1,1,3,1
8.36,71.2,0,8,2.68,1,2,0,3,1
6.46,70.5,0,11,4.04,6,1,5,1,1
5.36,93.9,2,10,2.92,3,0,4,4,0
6.72,82.0,0,1,2.4,0,0,5,3,1
8.27,75.5,2,6,3.79,2,1,1,2,1
5.43,84.0,0,10,3.87,3,1,2,3,1
5.53,52.7,3,3,4.21,1,0,3,4,1
7.58,77.5,3,13,3.77,3,1,2,1,1
6.49,100.0,0,11,3.98,4,1,1,0,1
7.71,79.6,0,12,3.63,1,0,2,2,1
6.78,78.8,0,2,3.17,5,0,3,0,0
7.78,84.6,3,8,2.99,3,0,0,4,1
5.35,88.7,0,7,2.66,6,0,2,4,1
6.78,54.0,1,9,1.69,0,0,1,3,1
6.51,57.8,1,12,1.94,2,0,0,4,1
5.1,80.5,3,5,2.62,5,0,0,0,0
4.61,69.4,1,7,3.14,6,0,2,3,1
7.76,93.7,1,9,4.34,1,1,0,2,1
6.31,74.2,5,10,2.86,6,0,2,1,0
5.37,54.8,0,11,3.9,1,3,3,1,1
6.67,62.8,3,5,3.98,2,2,5,2,1
8.38,45.0,0,13,2.67,2,1,0,3,1
4.0,75.2,1,1,3.49,2,3,2,0,1
4.7,75.7,3,7,2.66,6,2,0,3,0
5.51,72.9,2,8,4.22,5,0,2,4,1
8.85,90.9,2,1,3.54,5,1,2,0,1
7.2,92.4,0,6,1.71,1,0,4,4,0
7.87,76.0,1,8,3.06,6,1,2,3,1
5.2,52.4,0,8,4.55,3,1,5,1,1
5.23,85.4,1,2,2.72,4,0,0,3,1
7.43,84.7,1,4,3.35,4,0,0,3,1
6.88,81.7,0,4,3.45,4,3,0,3,1
7.57,89.8,0,9,1.86,4,0,2,0,1
6.54,64.0,0,5,3.41,3,0,1,0,0
7.19,100.0,0,8,1.51,4,0,0,3,1
7.02,66.5,0,10,2.27,6,1,1,1,1
7.89,87.0,3,11,3.98,2,2,5,1,1
7.93,57.8,1,3,3.26,3,1,4,2,1
4.53,66.8,0,12,2.6,1,0,0,3,1
4.0,96.2,2,3,3.35,2,0,5,0,1
8.2,74.9,3,1,2.84,5,0,1,4,1
8.46,88.1,0,1,2.91,4,1,2,2,1
5.37,80.8,0,3,3.56,1,2,1,0,1
4.2,76.7,0,12,2.17,3,1,2,0,1
6.94,94.4,0,3,2.94,5,0,4,4,0
8.1,75.2,2,10,2.59,0,1,4,0,1
9.32,56.6,5,6,1.31,0,0,3,2,0
7.52,68.4,0,1,1.98,2,1,3,3,1
6.28,84.6,2,6,4.47,4,1,4,2,1
5.55,82.7,0,1,3.28,2,1,1,1,0
6.82,59.2,1,7,1.58,5,1,2,0,1
6.38,69.3,2,8,1.36,5,2,0,3,0
5.38,71.0,0,7,2.79,3,0,4,2,1
9.67,73.6,0,4,4.46,2,0,2,0,1
9.3,61.5,1,10,2.71,0,0,3,0,1
8.39,70.5,5,8,4.21,5,1,3,2,1
5.51,69.3,0,4,3.25,6,1,1,0,0
8.0,87.3,0,6,3.37,3,1,0,1,1
7.7,87.7,0,2,1.56,3,1,5,0,1
7.42,76.3,1,13,3.84,5,0,1,3,1
8.55,73.3,1,10,2.57,4,1,0,3,1
7.69,79.7,3,4,3.76,0,1,1,3,0
7.84,68.2,2,9,2.09,4,0,5,0,1
7.69,64.2,3,9,3.08,6,0,1,1,1
7.28,66.7,3,8,3.25,5,0,5,1,1
4.3,70.4,0,1,2.75,3,0,2,3,1
6.92,64.0,1,12,3.3,3,1,5,4,1
6.02,79.9,0,13,2.63,1,2,3,1,1
5.01,86.8,0,13,2.25,4,1,0,3,1
9.15,59.0,4,13,4.51,1,0,3,2,1
9.22,78.3,2,13,3.95,2,1,2,4,1
8.7,75.4,5,10,2.14,1,1,1,0,0
7.16,82.1,1,1,3.47,2,0,3,4,1
8.69,77.8,1,7,2.16,2,2,0,2,1
6.82,60.6,1,4,1.72,0,0,4,1,0
7.08,62.9,0,3,3.93,5,0,4,0,1
5.27,78.4,0,11,1.2,3,0,0,4,0
7.36,90.3,1,11,3.83,6,0,2,4,1
6.88,51.4,0,7,2.65,1,2,3,0,1
4.98,82.1,4,10,2.69,4,0,0,2,0
6.73,92.3,0,2,3.31,1,0,2,3,0
6.69,76.2,0,3,3.48,3,0,1,2,0
9.32,84.6,2,12,2.07,3,0,0,0,1
8.05,69.6,0,6,3.62,3,0,4,1,1
6.82,76.6,4,8,3.01,4,0,2,1,1
7.15,58.5,2,7,1.64,5,1,4,1,1
6.86,49.9,0,3,2.73,2,0,3,4,1
6.52,89.3,2,11,4.28,5,1,5,1,1
5.28,66.2,2,10,4.58,1,0,5,3,1
6.59,72.5,2,9,3.62,2,1,3,4,1
5.76,61.4,3,5,1.71,2,2,2,3,1
5.05,61.1,2,9,3.39,6,0,2,3,1
7.52,75.9,1,13,3.75,0,0,4,0,1
7.35,69.2,0,9,3.63,2,2,2,0,1
4.3,82.5,2,7,3.68,2,1,3,3,1
6.63,83.4,4,4,3.26,5,1,1,3,1
8.19,81.9,1,7,2.83,3,0,5,3,1
8.28,80.9,2,5,2.29,6,0,3,2,1
8.24,96.9,1,8,1.0,5,1,1,2,1
6.85,65.2,2,1,3.24,4,2,3,0,1
